COGid	FunCat	Funk	Species	Genes	Alg.-Conn.	BGE	BGIGA	BOR	BPAA	BPLAN	CPUbr	MADAR
No-Hit	-	hypothetical	6	6	0.882	BGE:CDS:BGE_I02880	BGIGA:CDS:BGIGA_I03450	BOR:CDS:BOR_I02850	BPAA:CDS:BPAA_I03520	BPLAN:CDS:BPLAN_I03550	CPUbr:CDS:CPUbr_I02690	*
COG1045	E	Serine_acetyltransferase	6	6	0.728	BGE:CDS:BGE_I02740	BGIGA:CDS:BGIGA_I03560	BOR:CDS:BOR_I02740	BPAA:CDS:BPAA_I03620	BPLAN:CDS:BPLAN_I03670	*	MADAR:CDS:MADAR_I03360
No-Hit	-	hypothetical	7	7	0.595	BGE:CDS:BGE_I02690	BGIGA:CDS:BGIGA_I03580	BOR:CDS:BOR_I02720	BPAA:CDS:BPAA_I03640	BPLAN:CDS:BPLAN_I03700	CPUbr:CDS:CPUbr_I02590	MADAR:CDS:MADAR_I03410
COG4948	MR	L-alanine-DL-glutamate_epimerase_or_related_enzyme_of_enolase_superfamily	7	7	0.616	BGE:CDS:BGE_I02680	BGIGA:CDS:BGIGA_I03590	BOR:CDS:BOR_I02710	BPAA:PPgene:BPAA_I03650	BPLAN:CDS:BPLAN_I03710	CPUbr:CDS:CPUbr_I02580	MADAR:CDS:MADAR_I03420
COG2220	G	L-ascorbate_metabolism_protein_UlaG,_beta-lactamase_superfamily	7	7	0.721	BGE:CDS:BGE_I02670	BGIGA:CDS:BGIGA_I03600	BOR:CDS:BOR_I02700	BPAA:CDS:BPAA_I03660	BPLAN:CDS:BPLAN_I03720	CPUbr:CDS:CPUbr_I02570	MADAR:CDS:MADAR_I03430
COG1575	H	1,4-dihydroxy-2-naphthoate_octaprenyltransferase	7	7	0.630	BGE:CDS:BGE_I02660	BGIGA:CDS:BGIGA_I03610	BOR:CDS:BOR_I02690	BPAA:CDS:BPAA_I03670	BPLAN:CDS:BPLAN_I03730	CPUbr:CDS:CPUbr_I02560	MADAR:CDS:MADAR_I03440
COG0447	H	1,4-Dihydroxy-2-naphthoyl-CoA_synthase	7	7	0.869	BGE:CDS:BGE_I02650	BGIGA:CDS:BGIGA_I03620	BOR:CDS:BOR_I02680	BPAA:CDS:BPAA_I03680	BPLAN:CDS:BPLAN_I03740	CPUbr:CDS:CPUbr_I02550	MADAR:CDS:MADAR_I03450
No-Hit	-	hypothetical	7	7	0.685	BGE:CDS:BGE_I02640	BGIGA:CDS:BGIGA_I03630	BOR:CDS:BOR_I02670	BPAA:CDS:BPAA_I03690	BPLAN:CDS:BPLAN_I03750	CPUbr:CDS:CPUbr_I02540	MADAR:CDS:MADAR_I03460
COG1055	P	Na+/H+_antiporter_NhaD_or_related_arsenite_permease	7	7	0.766	BGE:CDS:BGE_I02630	BGIGA:CDS:BGIGA_I03640	BOR:CDS:BOR_I02660	BPAA:CDS:BPAA_I03700	BPLAN:CDS:BPLAN_I03760	CPUbr:CDS:CPUbr_I02530	MADAR:CDS:MADAR_I03470
COG0550	L	DNA_topoisomerase_IA	6	6	0.727	BGE:CDS:BGE_I03000	*	BOR:CDS:BOR_I02980	BPAA:PPgene:BPAA_I03400	BPLAN:CDS:BPLAN_I03430	CPUbr:CDS:CPUbr_I02810	MADAR:CDS:MADAR_I03120
COG4992	E	Acetylornithine/succinyldiaminopimelate/putrescine_aminotransferase	7	7	0.835	BGE:CDS:BGE_I03130	BGIGA:CDS:BGIGA_I03210	BOR:CDS:BOR_I03110	BPAA:CDS:BPAA_I03270	BPLAN:CDS:BPLAN_I03300	CPUbr:CDS:CPUbr_I02940	MADAR:CDS:MADAR_I02990
COG0002	E	N-acetyl-gamma-glutamylphosphate_reductase	7	7	0.819	BGE:CDS:BGE_I03120	BGIGA:CDS:BGIGA_I03220	BOR:CDS:BOR_I03100	BPAA:CDS:BPAA_I03280	BPLAN:CDS:BPLAN_I03310	CPUbr:CDS:CPUbr_I02930	MADAR:CDS:MADAR_I03000
COG0137	E	Argininosuccinate_synthase	7	7	0.841	BGE:CDS:BGE_I03110	BGIGA:CDS:BGIGA_I03230	BOR:CDS:BOR_I03090	BPAA:CDS:BPAA_I03290	BPLAN:CDS:BPLAN_I03320	CPUbr:CDS:CPUbr_I02920	MADAR:CDS:MADAR_I03010
COG0587	L	DNA_polymerase_III,_alpha_subunit	7	7	0.768	BGE:CDS:BGE_I03100	BGIGA:CDS:BGIGA_I03240	BOR:CDS:BOR_I03080	BPAA:CDS:BPAA_I03300	BPLAN:CDS:BPLAN_I03330	CPUbr:CDS:CPUbr_I02910	MADAR:CDS:MADAR_I03020
COG0539	J	Ribosomal_protein_S1	7	7	0.833	BGE:CDS:BGE_I03090	BGIGA:CDS:BGIGA_I03250	BOR:CDS:BOR_I03070	BPAA:CDS:BPAA_I03310	BPLAN:CDS:BPLAN_I03340	CPUbr:CDS:CPUbr_I02900	MADAR:CDS:MADAR_I03030
COG0209	F	Ribonucleotide_reductase_alpha_subunit	7	7	0.911	BGE:CDS:BGE_I03080	BGIGA:CDS:BGIGA_I03260	BOR:CDS:BOR_I03060	BPAA:CDS:BPAA_I03320	BPLAN:CDS:BPLAN_I03350	CPUbr:CDS:CPUbr_I02890	MADAR:CDS:MADAR_I03040
COG0809	J	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase_(queuine_synthetase)	7	7	0.873	BGE:CDS:BGE_I03020	BGIGA:CDS:BGIGA_I03320	BOR:CDS:BOR_I03000	BPAA:CDS:BPAA_I03380	BPLAN:CDS:BPLAN_I03410	CPUbr:CDS:CPUbr_I02830	MADAR:CDS:MADAR_I03100
COG0142	H	Geranylgeranyl_pyrophosphate_synthase	7	7	0.810	BGE:CDS:BGE_I03010	BGIGA:CDS:BGIGA_I03330	BOR:CDS:BOR_I02990	BPAA:CDS:BPAA_I03390	BPLAN:CDS:BPLAN_I03420	CPUbr:CDS:CPUbr_I02820	MADAR:CDS:MADAR_I03110
COG0148	G	Enolase	7	7	0.767	BGE:CDS:BGE_I02620	BGIGA:CDS:BGIGA_I03650	BOR:CDS:BOR_I02650	BPAA:CDS:BPAA_I03710	BPLAN:CDS:BPLAN_I03770	CPUbr:CDS:CPUbr_I02520	MADAR:CDS:MADAR_I03480
No-Hit	-	hypothetical	7	7	0.921	BGE:CDS:BGE_I02990	BGIGA:CDS:BGIGA_I03350	BOR:CDS:BOR_I02970	BPAA:CDS:BPAA_I03410	BPLAN:CDS:BPLAN_I03440	CPUbr:CDS:CPUbr_I02800	MADAR:CDS:MADAR_I03130
COG0313	J	16S_rRNA_C1402_(ribose-2'-O)_methylase_RsmI	7	7	0.818	BGE:CDS:BGE_I02980	BGIGA:CDS:BGIGA_I03360	BOR:CDS:BOR_I02960	BPAA:CDS:BPAA_I03420	BPLAN:CDS:BPLAN_I03450	CPUbr:CDS:CPUbr_I02790	MADAR:CDS:MADAR_I03140
COG0136	E	Aspartate-semialdehyde_dehydrogenase	7	7	0.790	BGE:CDS:BGE_I02970	BGIGA:CDS:BGIGA_I03370	BOR:CDS:BOR_I02950	BPAA:CDS:BPAA_I03430	BPLAN:CDS:BPLAN_I03460	CPUbr:CDS:CPUbr_I02780	MADAR:CDS:MADAR_I03150
COG0194	F	Guanylate_kinase	7	7	0.722	BGE:CDS:BGE_I02960	BGIGA:CDS:BGIGA_I03380	BOR:CDS:BOR_I02940	BPAA:CDS:BPAA_I03440	BPLAN:CDS:BPLAN_I03470	CPUbr:CDS:CPUbr_I02770	MADAR:CDS:MADAR_I03160
COG0698	G	Ribose_5-phosphate_isomerase_RpiB	7	7	0.825	BGE:CDS:BGE_I02930	BGIGA:CDS:BGIGA_I03400	BOR:CDS:BOR_I02910	BPAA:CDS:BPAA_I03470	BPLAN:CDS:BPLAN_I03490	CPUbr:CDS:CPUbr_I02750	MADAR:CDS:MADAR_I03190
COG0126	G	3-phosphoglycerate_kinase	7	7	0.739	BGE:CDS:BGE_I02920	BGIGA:CDS:BGIGA_I03410	BOR:CDS:BOR_I02900	BPAA:CDS:BPAA_I03480	BPLAN:CDS:BPLAN_I03500	CPUbr:CDS:CPUbr_I02740	MADAR:CDS:MADAR_I03200
COG0605	P	Superoxide_dismutase	7	7	0.783	BGE:CDS:BGE_I02910	BGIGA:CDS:BGIGA_I03420	BOR:CDS:BOR_I02890	BPAA:CDS:BPAA_I03490	BPLAN:CDS:BPLAN_I03510	CPUbr:CDS:CPUbr_I02730	MADAR:CDS:MADAR_I03210
COG1539	H	Dihydroneopterin_aldolase	7	7	0.703	BGE:CDS:BGE_I02900	BGIGA:CDS:BGIGA_I03430	BOR:CDS:BOR_I02880	BPAA:CDS:BPAA_I03500	BPLAN:CDS:BPLAN_I03520	CPUbr:CDS:CPUbr_I02720	MADAR:CDS:MADAR_I03220
COG0051	J	Ribosomal_protein_S10	7	7	0.924	BGE:CDS:BGE_I02340	BGIGA:CDS:BGIGA_I03930	BOR:CDS:BOR_I02370	BPAA:CDS:BPAA_I03990	BPLAN:CDS:BPLAN_I04050	CPUbr:CDS:CPUbr_I02240	MADAR:CDS:MADAR_I03750
No-Hit	-	hypothetical	7	7	0.437	BGE:CDS:BGE_I02430	BGIGA:CDS:BGIGA_I03840	BOR:CDS:BOR_I02460	BPAA:CDS:BPAA_I03900	BPLAN:CDS:BPLAN_I03960	CPUbr:CDS:CPUbr_I02330	MADAR:CDS:MADAR_I03660
COG0197	J	Ribosomal_protein_L16/L10AE	7	7	0.905	BGE:CDS:BGE_I02420	BGIGA:CDS:BGIGA_I03850	BOR:CDS:BOR_I02450	BPAA:CDS:BPAA_I03910	BPLAN:CDS:BPLAN_I03970	CPUbr:CDS:CPUbr_I02320	MADAR:CDS:MADAR_I03670
COG0092	J	Ribosomal_protein_S3	7	7	0.859	BGE:CDS:BGE_I02410	BGIGA:CDS:BGIGA_I03860	BOR:CDS:BOR_I02440	BPAA:CDS:BPAA_I03920	BPLAN:CDS:BPLAN_I03980	CPUbr:CDS:CPUbr_I02310	MADAR:CDS:MADAR_I03680
COG0091	J	Ribosomal_protein_L22	7	7	0.665	BGE:CDS:BGE_I02400	BGIGA:CDS:BGIGA_I03870	BOR:CDS:BOR_I02430	BPAA:CDS:BPAA_I03930	BPLAN:CDS:BPLAN_I03990	CPUbr:CDS:CPUbr_I02300	MADAR:CDS:MADAR_I03690
COG0185	J	Ribosomal_protein_S19	7	7	0.874	BGE:CDS:BGE_I02390	BGIGA:CDS:BGIGA_I03880	BOR:CDS:BOR_I02420	BPAA:CDS:BPAA_I03940	BPLAN:CDS:BPLAN_I04000	CPUbr:CDS:CPUbr_I02290	MADAR:CDS:MADAR_I03700
COG0090	J	Ribosomal_protein_L2	7	7	0.872	BGE:CDS:BGE_I02380	BGIGA:CDS:BGIGA_I03890	BOR:CDS:BOR_I02410	BPAA:CDS:BPAA_I03950	BPLAN:CDS:BPLAN_I04010	CPUbr:CDS:CPUbr_I02280	MADAR:CDS:MADAR_I03710
COG0089	J	Ribosomal_protein_L23	7	7	0.649	BGE:CDS:BGE_I02370	BGIGA:CDS:BGIGA_I03900	BOR:CDS:BOR_I02400	BPAA:CDS:BPAA_I03960	BPLAN:CDS:BPLAN_I04020	CPUbr:CDS:CPUbr_I02270	MADAR:CDS:MADAR_I03720
COG0088	J	Ribosomal_protein_L4	7	7	0.725	BGE:CDS:BGE_I02360	BGIGA:CDS:BGIGA_I03910	BOR:CDS:BOR_I02390	BPAA:CDS:BPAA_I03970	BPLAN:CDS:BPLAN_I04030	CPUbr:CDS:CPUbr_I02260	MADAR:CDS:MADAR_I03730
COG0087	J	Ribosomal_protein_L3	7	7	0.706	BGE:CDS:BGE_I02350	BGIGA:CDS:BGIGA_I03920	BOR:CDS:BOR_I02380	BPAA:CDS:BPAA_I03980	BPLAN:CDS:BPLAN_I04040	CPUbr:CDS:CPUbr_I02250	MADAR:CDS:MADAR_I03740
COG0186	J	Ribosomal_protein_S17	7	7	0.672	BGE:CDS:BGE_I02440	BGIGA:CDS:BGIGA_I03830	BOR:CDS:BOR_I02470	BPAA:CDS:BPAA_I03890	BPLAN:CDS:BPLAN_I03950	CPUbr:CDS:CPUbr_I02340	MADAR:CDS:MADAR_I03650
COG0480	J	Translation_elongation_factor_EF-G,_a_GTPase	7	7	0.865	BGE:CDS:BGE_I02330	BGIGA:CDS:BGIGA_I03940	BOR:CDS:BOR_I02360	BPAA:CDS:BPAA_I04000	BPLAN:CDS:BPLAN_I04060	CPUbr:CDS:CPUbr_I02230	MADAR:CDS:MADAR_I03760
COG0049	J	Ribosomal_protein_S7	7	7	0.869	BGE:CDS:BGE_I02320	BGIGA:CDS:BGIGA_I03950	BOR:CDS:BOR_I02350	BPAA:CDS:BPAA_I04010	BPLAN:CDS:BPLAN_I04070	CPUbr:CDS:CPUbr_I02220	MADAR:CDS:MADAR_I03770
COG0048	J	Ribosomal_protein_S12	7	7	0.947	BGE:CDS:BGE_I02310	BGIGA:CDS:BGIGA_I03960	BOR:CDS:BOR_I02340	BPAA:CDS:BPAA_I04020	BPLAN:CDS:BPLAN_I04080	CPUbr:CDS:CPUbr_I02210	MADAR:CDS:MADAR_I03780
COG0024	J	Methionine_aminopeptidase	6	6	0.785	BGE:CDS:BGE_I02300	BGIGA:CDS:BGIGA_I03970	BOR:CDS:BOR_I02330	BPAA:CDS:BPAA_I04030	BPLAN:CDS:BPLAN_I04090	*	MADAR:CDS:MADAR_I03790
COG0696	G	Phosphoglycerate_mutase_(BPG-independent,_AlkP_superfamily)	7	7	0.719	BGE:CDS:BGE_I02290	BGIGA:CDS:BGIGA_I03980	BOR:CDS:BOR_I02320	BPAA:CDS:BPAA_I04040	BPLAN:CDS:BPLAN_I04100	CPUbr:CDS:CPUbr_I02190	MADAR:CDS:MADAR_I03800
No-Hit	-	hypothetical	7	7	0.934	BGE:CDS:BGE_I01410	BGIGA:CDS:BGIGA_I04870	BOR:CDS:BOR_I01430	BPAA:CDS:BPAA_I04930	BPLAN:CDS:BPLAN_I05000	CPUbr:CDS:CPUbr_I01330	MADAR:CDS:MADAR_I04650
COG0052	J	Ribosomal_protein_S2	7	7	0.785	BGE:CDS:BGE_I02270	BGIGA:CDS:BGIGA_I04000	BOR:CDS:BOR_I02300	BPAA:CDS:BPAA_I04060	BPLAN:CDS:BPLAN_I04120	CPUbr:CDS:CPUbr_I02170	MADAR:CDS:MADAR_I03820
COG0103	J	Ribosomal_protein_S9	7	7	0.687	BGE:CDS:BGE_I02260	BGIGA:CDS:BGIGA_I04010	BOR:CDS:BOR_I02290	BPAA:CDS:BPAA_I04070	BPLAN:CDS:BPLAN_I04130	CPUbr:CDS:CPUbr_I02160	MADAR:CDS:MADAR_I03830
COG0200	J	Ribosomal_protein_L15	7	7	0.576	BGE:CDS:BGE_I02530	BGIGA:CDS:BGIGA_I03740	BOR:CDS:BOR_I02560	BPAA:CDS:BPAA_I03800	BPLAN:CDS:BPLAN_I03860	CPUbr:CDS:CPUbr_I02430	MADAR:CDS:MADAR_I03560
COG0203	J	Ribosomal_protein_L17	7	7	0.775	BGE:CDS:BGE_I02610	BGIGA:CDS:BGIGA_I03660	BOR:CDS:BOR_I02640	BPAA:CDS:BPAA_I03720	BPLAN:CDS:BPLAN_I03780	CPUbr:CDS:CPUbr_I02510	MADAR:CDS:MADAR_I03490
COG0202	K	DNA-directed_RNA_polymerase,_alpha_subunit/40_kD_subunit	7	7	0.789	BGE:CDS:BGE_I02600	BGIGA:CDS:BGIGA_I03670	BOR:CDS:BOR_I02630	BPAA:CDS:BPAA_I03730	BPLAN:CDS:BPLAN_I03790	CPUbr:CDS:CPUbr_I02500	MADAR:CDS:MADAR_I03500
COG0522	J	Ribosomal_protein_S4_or_related_protein	7	7	0.859	BGE:CDS:BGE_I02590	BGIGA:CDS:BGIGA_I03680	BOR:CDS:BOR_I02620	BPAA:CDS:BPAA_I03740	BPLAN:CDS:BPLAN_I03800	CPUbr:CDS:CPUbr_I02490	MADAR:CDS:MADAR_I03510
COG0100	J	Ribosomal_protein_S11	7	7	0.928	BGE:CDS:BGE_I02580	BGIGA:CDS:BGIGA_I03690	BOR:CDS:BOR_I02610	BPAA:CDS:BPAA_I03750	BPLAN:CDS:BPLAN_I03810	CPUbr:CDS:CPUbr_I02480	MADAR:CDS:MADAR_I03520
COG0099	J	Ribosomal_protein_S13	7	7	0.863	BGE:CDS:BGE_I02570	BGIGA:CDS:BGIGA_I03700	BOR:CDS:BOR_I02600	BPAA:CDS:BPAA_I03760	BPLAN:CDS:BPLAN_I03820	CPUbr:CDS:CPUbr_I02470	MADAR:CDS:MADAR_I03530
COG0257	J	Ribosomal_protein_L36	6	6	0.858	BGE:CDS:BGE_I02560	BGIGA:CDS:BGIGA_I03710	BOR:CDS:BOR_I02590	BPAA:CDS:BPAA_I03770	BPLAN:CDS:BPLAN_I03830	CPUbr:CDS:CPUbr_I02460	*
COG0361	J	Translation_initiation_factor_IF-1	7	7	0.947	BGE:CDS:BGE_I02550	BGIGA:CDS:BGIGA_I03720	BOR:CDS:BOR_I02580	BPAA:CDS:BPAA_I03780	BPLAN:CDS:BPLAN_I03840	CPUbr:CDS:CPUbr_I02450	MADAR:CDS:MADAR_I03540
COG0201	U	Preprotein_translocase_subunit_SecY	7	7	0.836	BGE:CDS:BGE_I02540	BGIGA:CDS:BGIGA_I03730	BOR:CDS:BOR_I02570	BPAA:CDS:BPAA_I03790	BPLAN:CDS:BPLAN_I03850	CPUbr:CDS:CPUbr_I02440	MADAR:CDS:MADAR_I03550
COG0102	J	Ribosomal_protein_L13	7	7	0.667	BGE:CDS:BGE_I02250	BGIGA:CDS:BGIGA_I04020	BOR:CDS:BOR_I02280	BPAA:CDS:BPAA_I04080	BPLAN:CDS:BPLAN_I04140	CPUbr:CDS:CPUbr_I02150	MADAR:CDS:MADAR_I03840
COG0098	J	Ribosomal_protein_S5	7	7	0.795	BGE:CDS:BGE_I02520	BGIGA:CDS:BGIGA_I03750	BOR:CDS:BOR_I02550	BPAA:CDS:BPAA_I03810	BPLAN:CDS:BPLAN_I03870	CPUbr:CDS:CPUbr_I02420	MADAR:CDS:MADAR_I03570
COG0256	J	Ribosomal_protein_L18	7	7	0.764	BGE:CDS:BGE_I02510	BGIGA:CDS:BGIGA_I03760	BOR:CDS:BOR_I02540	BPAA:CDS:BPAA_I03820	BPLAN:CDS:BPLAN_I03880	CPUbr:CDS:CPUbr_I02410	MADAR:CDS:MADAR_I03580
COG0097	J	Ribosomal_protein_L6P/L9E	7	7	0.709	BGE:CDS:BGE_I02500	BGIGA:CDS:BGIGA_I03770	BOR:CDS:BOR_I02530	BPAA:CDS:BPAA_I03830	BPLAN:CDS:BPLAN_I03890	CPUbr:CDS:CPUbr_I02400	MADAR:CDS:MADAR_I03590
COG0096	J	Ribosomal_protein_S8	7	7	0.777	BGE:CDS:BGE_I02490	BGIGA:CDS:BGIGA_I03780	BOR:CDS:BOR_I02520	BPAA:CDS:BPAA_I03840	BPLAN:CDS:BPLAN_I03900	CPUbr:CDS:CPUbr_I02390	MADAR:CDS:MADAR_I03600
COG0199	J	Ribosomal_protein_S14	7	7	0.875	BGE:CDS:BGE_I02480	BGIGA:CDS:BGIGA_I03790	BOR:CDS:BOR_I02510	BPAA:CDS:BPAA_I03850	BPLAN:CDS:BPLAN_I03910	CPUbr:CDS:CPUbr_I02380	MADAR:CDS:MADAR_I03610
COG0094	J	Ribosomal_protein_L5	7	7	0.826	BGE:CDS:BGE_I02470	BGIGA:CDS:BGIGA_I03800	BOR:CDS:BOR_I02500	BPAA:CDS:BPAA_I03860	BPLAN:CDS:BPLAN_I03920	CPUbr:CDS:CPUbr_I02370	MADAR:CDS:MADAR_I03620
COG0198	J	Ribosomal_protein_L24	7	7	0.711	BGE:CDS:BGE_I02460	BGIGA:CDS:BGIGA_I03810	BOR:CDS:BOR_I02490	BPAA:CDS:BPAA_I03870	BPLAN:CDS:BPLAN_I03930	CPUbr:CDS:CPUbr_I02360	MADAR:CDS:MADAR_I03630
COG0093	J	Ribosomal_protein_L14	7	7	0.884	BGE:CDS:BGE_I02450	BGIGA:CDS:BGIGA_I03820	BOR:CDS:BOR_I02480	BPAA:CDS:BPAA_I03880	BPLAN:CDS:BPLAN_I03940	CPUbr:CDS:CPUbr_I02350	MADAR:CDS:MADAR_I03640
No-Hit	-	hypothetical	7	7	0.878	BGE:CDS:BGE_I00360	BGIGA:CDS:BGIGA_I05920	BOR:CDS:BOR_I00380	BPAA:CDS:BPAA_I05960	BPLAN:CDS:BPLAN_I06050	CPUbr:CDS:CPUbr_I00350	MADAR:CDS:MADAR_I05630
COG0423	J	Glycyl-tRNA_synthetase_(class_II)	7	7	0.767	BGE:CDS:BGE_I00460	BGIGA:CDS:BGIGA_I05820	BOR:CDS:BOR_I00480	BPAA:CDS:BPAA_I05860	BPLAN:CDS:BPLAN_I05940	CPUbr:CDS:CPUbr_I00450	MADAR:CDS:MADAR_I05530
COG0492	O	Thioredoxin_reductase	7	7	0.759	BGE:CDS:BGE_I00450	BGIGA:CDS:BGIGA_I05830	BOR:CDS:BOR_I00470	BPAA:CDS:BPAA_I05870	BPLAN:CDS:BPLAN_I05950	CPUbr:CDS:CPUbr_I00440	MADAR:CDS:MADAR_I05540
No-Hit	-	hypothetical	7	7	0.693	BGE:CDS:BGE_I00440	BGIGA:CDS:BGIGA_I05840	BOR:CDS:BOR_I00460	BPAA:CDS:BPAA_I05880	BPLAN:CDS:BPLAN_I05960	CPUbr:CDS:CPUbr_I00430	MADAR:CDS:MADAR_I05550
COG0057	G	Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase	7	7	0.792	BGE:CDS:BGE_I00430	BGIGA:CDS:BGIGA_I05850	BOR:CDS:BOR_I00450	BPAA:CDS:BPAA_I05890	BPLAN:CDS:BPLAN_I05970	CPUbr:CDS:CPUbr_I00420	MADAR:CDS:MADAR_I05560
COG0481	J	Translation_elongation_factor_EF-4,_membrane-bound_GTPase	7	7	0.814	BGE:CDS:BGE_I00420	BGIGA:CDS:BGIGA_I05860	BOR:CDS:BOR_I00440	BPAA:CDS:BPAA_I05900	BPLAN:CDS:BPLAN_I05980	CPUbr:CDS:CPUbr_I00410	MADAR:CDS:MADAR_I05570
COG0193	J	Peptidyl-tRNA_hydrolase	7	7	0.688	BGE:CDS:BGE_I00400	BGIGA:CDS:BGIGA_I05880	BOR:CDS:BOR_I00420	BPAA:CDS:BPAA_I05920	BPLAN:CDS:BPLAN_I06000	CPUbr:CDS:CPUbr_I00400	MADAR:CDS:MADAR_I05590
COG0074	C	Succinyl-CoA_synthetase,_alpha_subunit	7	7	0.784	BGE:CDS:BGE_I00390	BGIGA:CDS:BGIGA_I05890	BOR:CDS:BOR_I00410	BPAA:CDS:BPAA_I05930	BPLAN:CDS:BPLAN_I06010	CPUbr:CDS:CPUbr_I00390	MADAR:CDS:MADAR_I05600
COG0231	J	Translation_elongation_factor_P_(EF-P)/translation_initiation_factor_5A_(eIF-5A)	6	6	0.675	BGE:CDS:BGE_I00380	BGIGA:CDS:BGIGA_I05900	BOR:CDS:BOR_I00400	BPAA:CDS:BPAA_I05940	BPLAN:CDS:BPLAN_I06020	CPUbr:CDS:CPUbr_I00380	*
COG0774	M	UDP-3-O-acyl-N-acetylglucosamine_deacetylase	6	6	0.681	BGE:CDS:BGE_I00370	BGIGA:CDS:BGIGA_I05910	BOR:CDS:BOR_I00390	*	BPLAN:CDS:BPLAN_I06030	CPUbr:CDS:CPUbr_I00370	MADAR:CDS:MADAR_I05610
COG0592	L	DNA_polymerase_III_sliding_clamp_(beta)_subunit,_PCNA_homolog	7	7	0.431	BGE:CDS:BGE_I00480	BGIGA:CDS:BGIGA_I05800	BOR:CDS:BOR_I00500	BPAA:CDS:BPAA_I05840	BPLAN:CDS:BPLAN_I05920	CPUbr:CDS:CPUbr_I00470	MADAR:CDS:MADAR_I05510
No-Hit	-	hypothetical	7	7	0.684	BGE:CDS:BGE_I00350	BGIGA:CDS:BGIGA_I05930	BOR:CDS:BOR_I00370	BPAA:CDS:BPAA_I05970	BPLAN:CDS:BPLAN_I06060	CPUbr:CDS:CPUbr_I00340	MADAR:CDS:MADAR_I05640
No-Hit	-	hypothetical	7	7	0.812	BGE:CDS:BGE_I00340	BGIGA:CDS:BGIGA_I05940	BOR:CDS:BOR_I00360	BPAA:CDS:BPAA_I05980	BPLAN:CDS:BPLAN_I06070	CPUbr:CDS:CPUbr_I00330	MADAR:CDS:MADAR_I05650
COG0127	F	Inosine/xanthosine_triphosphate_pyrophosphatase,_all-alpha_NTP-PPase_family	3	3	0.676	BGE:CDS:BGE_I00330	*	BOR:CDS:BOR_I00350	*	BPLAN:CDS:BPLAN_I06080	*	*
COG1234	J	Ribonuclease_BN,_tRNA_processing_enzyme	7	7	0.856	BGE:CDS:BGE_I00320	BGIGA:CDS:BGIGA_I05950	BOR:CDS:BOR_I00340	BPAA:CDS:BPAA_I05990	BPLAN:CDS:BPLAN_I06090	CPUbr:CDS:CPUbr_I00320	MADAR:CDS:MADAR_I05660
COG4591	M	ABC-type_transport_system,_involved_in_lipoprotein_release,_permease_component	6	6	0.546	BGE:CDS:BGE_I00310	BGIGA:CDS:BGIGA_I05960	BOR:CDS:BOR_I00330	BPAA:CDS:BPAA_I06000	BPLAN:CDS:BPLAN_I06100	CPUbr:CDS:CPUbr_I00310	*
No-Hit	-	hypothetical	7	7	0.589	BGE:CDS:BGE_I00300	BGIGA:CDS:BGIGA_I05970	BOR:CDS:BOR_I00320	BPAA:CDS:BPAA_I06010	BPLAN:CDS:BPLAN_I06110	CPUbr:CDS:CPUbr_I00300	MADAR:CDS:MADAR_I05670
COG0211	J	Ribosomal_protein_L27	7	7	0.762	BGE:CDS:BGE_I00270	BGIGA:CDS:BGIGA_I06000	BOR:CDS:BOR_I00290	BPAA:CDS:BPAA_I06040	BPLAN:CDS:BPLAN_I06140	CPUbr:CDS:CPUbr_I00270	MADAR:CDS:MADAR_I05700
COG0261	J	Ribosomal_protein_L21	7	7	0.652	BGE:CDS:BGE_I00260	BGIGA:CDS:BGIGA_I06010	BOR:CDS:BOR_I00280	BPAA:CDS:BPAA_I06050	BPLAN:CDS:BPLAN_I06150	CPUbr:CDS:CPUbr_I00260	MADAR:CDS:MADAR_I05710
COG0283	F	Cytidylate_kinase	7	7	0.692	BGE:CDS:BGE_I00580	BGIGA:CDS:BGIGA_I05700	BOR:CDS:BOR_I00600	BPAA:CDS:BPAA_I05740	BPLAN:CDS:BPLAN_I05820	CPUbr:CDS:CPUbr_I00570	MADAR:CDS:MADAR_I05410
COG0119	E	Isopropylmalate/homocitrate/citramalate_synthases	5	5	0.865	BGE:CDS:BGE_I00670	BGIGA:CDS:BGIGA_I05610	BOR:CDS:BOR_I00680	BPAA:CDS:BPAA_I05660	BPLAN:CDS:BPLAN_I05740	*	*
No-Hit	-	hypothetical	5	5	0.848	BGE:CDS:BGE_I00660	BGIGA:CDS:BGIGA_I05620	BOR:CDS:BOR_I00670	BPAA:CDS:BPAA_I05670	BPLAN:CDS:BPLAN_I05750	*	*
COG0162	J	Tyrosyl-tRNA_synthetase	7	7	0.665	BGE:CDS:BGE_I00640	BGIGA:CDS:BGIGA_I05640	BOR:CDS:BOR_I00660	BPAA:CDS:BPAA_I05680	BPLAN:CDS:BPLAN_I05760	CPUbr:CDS:CPUbr_I00620	MADAR:CDS:MADAR_I05360
COG1159	J	GTPase_Era,_involved_in_16S_rRNA_processing	6	6	0.618	BGE:CDS:BGE_I00630	BGIGA:PPgene:BGIGA_I05650	BOR:CDS:BOR_I00650	BPAA:CDS:BPAA_I05690	BPLAN:CDS:BPLAN_I05770	CPUbr:CDS:CPUbr_I00610	*
